reporting_period,project_id,project_county,project_city,project_zip,electric_utility,project_completion_date,total_project_cost,pre_retrofit_home_heating_fuel_type,size_of_home,number_of_units,job_type,type_of_dwelling,measure_type,estimated_annual_kwh_savings,estimated_annual_mmbtu_savings,first_year_modeled_project_energy_savings_estimate,location_1,:@computed_region_yamh_8v7k,:@computed_region_wbg7_3whc,:@computed_region_kjdx_g34t,year_home_built,gas_utility
2021-01-30T00:00:00.000,319939,Niagara,Sanborn,14132,National Grid,2018-01-04T00:00:00.000,3048,Natural Gas,802,1,Home Performance,Mobile,Building Shell,0,15,238,"{'latitude': '43.146095', 'longitude': '-78.876048', 'human_address': '{""address"": """", ""city"": ""Sanborn"", ""state"": ""NY"", ""zip"": ""14132""}'}",173,1107,2131,,
2021-01-30T00:00:00.000,322614,Orleans,Holley,14470,National Grid,2018-03-06T00:00:00.000,6651,Propane,"1,326",1,Home Performance,Mobile,Building Shell,510,46,514,"{'latitude': '43.211567', 'longitude': '-78.054132', 'human_address': '{""address"": """", ""city"": ""Holley"", ""state"": ""NY"", ""zip"": ""14470""}'}",504,240,626,1997,
2021-01-30T00:00:00.000,344872,Oneida,Rome,13440,National Grid,2018-03-06T00:00:00.000,5071,Kerosene,952,1,Home Performance,Mobile,Building Shell,460,18,629,"{'latitude': '43.214717', 'longitude': '-75.454665', 'human_address': '{""address"": """", ""city"": ""Rome"", ""state"": ""NY"", ""zip"": ""13440""}'}",989,1366,625,1993,
2021-01-30T00:00:00.000,344879,Oneida,Rome,13440,National Grid,2018-03-28T00:00:00.000,5133,Oil,972,1,Home Performance,Mobile,Building Shell,510,13,407,"{'latitude': '43.214717', 'longitude': '-75.454665', 'human_address': '{""address"": """", ""city"": ""Rome"", ""state"": ""NY"", ""zip"": ""13440""}'}",989,1366,625,,
2021-01-30T00:00:00.000,320335,Orleans,Kent,14477,National Grid,2018-04-13T00:00:00.000,5475,Oil,"1,700",1,Home Performance,Single Family,Building Shell,0,34,718,"{'latitude': '43.346379', 'longitude': '-78.13651', 'human_address': '{""address"": """", ""city"": ""Kent"", ""state"": ""NY"", ""zip"": ""14477""}'}",505,245,626,,
2021-01-30T00:00:00.000,352253,Onondaga,Delphi,13051,National Grid,2018-04-13T00:00:00.000,5039,Propane,840,1,Home Performance,Mobile,Building Shell,301,16,489,"{'latitude': '42.877253', 'longitude': '-75.913778', 'human_address': '{""address"": """", ""city"": ""Delphi"", ""state"": ""NY"", ""zip"": ""13051""}'}",691,422,2132,1991,
2021-01-30T00:00:00.000,343469,Suffolk,Ridge,11961,Long Island Power Authority,2018-04-20T00:00:00.000,7425,Oil,"1,710",1,Home Performance,Single Family,Building Shell,0,41,788,"{'latitude': '40.893078', 'longitude': '-72.883233', 'human_address': '{""address"": """", ""city"": ""Ridge"", ""state"": ""NY"", ""zip"": ""11961""}'}",1022,1644,2179,1980,
2021-01-30T00:00:00.000,345158,Oneida,Rome,13440,National Grid,2018-04-24T00:00:00.000,4018,Propane,924,1,Home Performance,Mobile,Building Shell,301,11,369,"{'latitude': '43.214717', 'longitude': '-75.454665', 'human_address': '{""address"": """", ""city"": ""Rome"", ""state"": ""NY"", ""zip"": ""13440""}'}",989,1366,625,,
2021-01-30T00:00:00.000,333868,Oneida,Verona,13478,National Grid,2018-05-01T00:00:00.000,6400,Oil,"1,350",1,Home Performance,Single Family,Building Shell,1441,22,565,"{'latitude': '43.143375', 'longitude': '-75.578144', 'human_address': '{""address"": """", ""city"": ""Verona"", ""state"": ""NY"", ""zip"": ""13478""}'}",982,1385,625,,
2021-01-30T00:00:00.000,351440,Kings,Brooklyn,11210,Consolidated Edison,2018-05-18T00:00:00.000,6952,Natural Gas,"1,560",1,Home Performance,Single Family,Building Shell,748,44,731,"{'latitude': '40.627743', 'longitude': '-73.946445', 'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11210""}'}",894,888,2090,1971,National Grid
